Protocol....=familiarite
Task........=animal/no animal
operator....=
doctor......=
referral....=
institution.=cerco
subject.....=ega
age.........=
sex.........=
hand........=
medications.=
class.......=
Sequence....=
SubjectType.=
date........=2/3/1999
time........=10:51
DataFile....=ega2ff11
Serie.......=11
Event  Resp  Type  Correct  Latency
-----  ----  ----  -------  -------
1	0	12801	1	1000
2	1	12302	1	328
3	0	12803	1	1000
4	0	12804	1	1000
5	0	12805	1	1000
6	0	12806	1	1000
7	0	12807	1	1000
8	1	12308	1	402
9	1	12309	1	397
10	1	12310	1	334
11	1	12311	1	317
12	1	12312	1	299
13	1	12313	1	288
14	0	12814	1	1000
15	1	12315	1	581
16	1	12316	1	310
17	0	12817	1	1000
18	0	12818	1	1000
19	1	12319	1	365
20	0	12820	1	1000
21	0	12821	1	1000
22	0	12822	1	1000
23	1	12323	1	336
24	1	12324	1	612
25	0	12825	1	1000
26	1	12326	1	324
27	0	12827	1	1000
28	1	12328	1	346
29	0	12829	1	1000
30	0	12830	1	1000
31	1	12331	1	281
32	0	12832	1	1000
33	0	12833	1	1000
34	0	12834	1	1000
35	1	12335	1	382
36	0	12836	1	1000
37	0	12837	1	1000
38	0	12838	1	1000
39	1	12339	1	389
40	1	12340	1	366
41	1	12341	1	316
42	1	12342	1	284
43	0	12843	1	1000
44	0	12844	1	1000
45	1	12345	1	409
46	1	12346	1	346
47	1	12347	1	266
48	1	12348	1	283
49	1	12349	1	282
50	0	12850	1	1000
51	0	12851	1	1000
52	0	12852	1	1000
53	0	12853	1	1000
54	1	12354	1	384
55	1	12355	1	321
56	0	12856	1	1000
57	1	12357	1	327
58	0	12858	1	1000
59	1	12359	1	304
60	1	12360	1	287
61	1	12361	1	210
62	0	12862	1	1000
63	1	12363	1	259
64	1	12364	1	250
65	0	12865	1	1000
66	1	12366	1	224
67	1	12367	1	360
68	0	12868	1	1000
69	0	12869	1	1000
70	0	12870	1	1000
71	0	12871	1	1000
72	1	12372	1	347
73	0	12873	1	1000
74	1	12374	1	361
75	0	12875	1	1000
76	1	12376	1	300
77	1	12377	1	250
78	0	12878	1	1000
79	1	12379	0	1000
80	0	12880	1	1000
81	0	12881	1	1000
82	0	12882	1	1000
83	1	12383	1	317
84	1	12384	1	287
85	0	12885	1	1000
86	1	12386	1	365
87	1	12387	1	413
88	0	12888	1	1000
89	0	12889	1	1000
90	0	12890	1	1000
91	0	12891	1	1000
92	0	12892	1	1000
93	1	12393	1	296
94	1	12394	1	341
95	1	12395	1	332
96	1	12396	1	301
97	1	12397	1	308
98	0	12898	1	1000
99	0	12899	1	1000
100	1	12400	1	335
